,Date,Monthly_Average,Year,Month,Quarter,Q1,Q2,Q3,Q4
0,2023-05-01,1419.38,2023,5,Q2,3049.8266666666664,1866.89,1598.64,1557.6866666666667
1,2023-06-01,1160.33,2023,6,Q2,3049.8266666666664,1866.89,1598.64,1557.6866666666667
2,2023-07-01,848.78,2023,7,Q3,3049.8266666666664,1866.89,1598.64,1557.6866666666667
3,2023-08-01,975.33,2023,8,Q3,3049.8266666666664,1866.89,1598.64,1557.6866666666667
4,2023-09-01,975.61,2023,9,Q3,3049.8266666666664,1866.89,1598.64,1557.6866666666667
5,2023-10-01,866.36,2023,10,Q4,3049.8266666666664,1866.89,1598.64,1557.6866666666667
6,2023-11-01,1073.42,2023,11,Q4,3049.8266666666664,1866.89,1598.64,1557.6866666666667
7,2023-12-01,1026.69,2023,12,Q4,3049.8266666666664,1866.89,1598.64,1557.6866666666667
8,2024-01-01,1027.55,2024,1,Q1,1422.6416666666667,1333.2083333333333,,
9,2024-02-01,995.19,2024,2,Q1,1422.6416666666667,1333.2083333333333,,
10,2024-03-01,1071.78,2024,3,Q1,1422.6416666666667,1333.2083333333333,,
11,2024-04-01,950.57,2024,4,Q2,1422.6416666666667,1333.2083333333333,,
12,2024-05-01,1054.47,2024,5,Q2,1422.6416666666667,1333.2083333333333,,
13,2024-06-01,766.63,2024,6,Q2,1422.6416666666667,1333.2083333333333,,
14,2020-03-01,669.71,2020,3,Q1,669.71,573.1166666666667,991.4499999999999,1148.5833333333333
15,2020-04-01,525.16,2020,4,Q2,669.71,573.1166666666667,991.4499999999999,1148.5833333333333
16,2020-05-01,492.82,2020,5,Q2,669.71,573.1166666666667,991.4499999999999,1148.5833333333333
17,2020-06-01,701.37,2020,6,Q2,669.71,573.1166666666667,991.4499999999999,1148.5833333333333
18,2020-07-01,869.18,2020,7,Q3,669.71,573.1166666666667,991.4499999999999,1148.5833333333333
19,2020-08-01,904.14,2020,8,Q3,669.71,573.1166666666667,991.4499999999999,1148.5833333333333
20,2020-09-01,1201.03,2020,9,Q3,669.71,573.1166666666667,991.4499999999999,1148.5833333333333
21,2020-10-01,990.22,2020,10,Q4,669.71,573.1166666666667,991.4499999999999,1148.5833333333333
22,2020-11-01,1100.49,2020,11,Q4,669.71,573.1166666666667,991.4499999999999,1148.5833333333333
23,2020-12-01,1355.04,2020,12,Q4,669.71,573.1166666666667,991.4499999999999,1148.5833333333333
24,2021-01-01,1468.45,2021,1,Q1,1394.9800000000002,1663.1066666666666,2545.57,4648.55
25,2021-02-01,1310.11,2021,2,Q1,1394.9800000000002,1663.1066666666666,2545.57,4648.55
26,2021-03-01,1406.38,2021,3,Q1,1394.9800000000002,1663.1066666666666,2545.57,4648.55
27,2021-04-01,1562.1,2021,4,Q2,1394.9800000000002,1663.1066666666666,2545.57,4648.55
28,2021-05-01,1515.42,2021,5,Q2,1394.9800000000002,1663.1066666666666,2545.57,4648.55
29,2021-06-01,1911.8,2021,6,Q2,1394.9800000000002,1663.1066666666666,2545.57,4648.55
30,2021-07-01,2181.48,2021,7,Q3,1394.9800000000002,1663.1066666666666,2545.57,4648.55
31,2021-08-01,2162.43,2021,8,Q3,1394.9800000000002,1663.1066666666666,2545.57,4648.55
32,2021-09-01,3292.8,2021,9,Q3,1394.9800000000002,1663.1066666666666,2545.57,4648.55
33,2021-10-01,3585.36,2021,10,Q4,1394.9800000000002,1663.1066666666666,2545.57,4648.55
34,2021-11-01,4578.96,2021,11,Q4,1394.9800000000002,1663.1066666666666,2545.57,4648.55
35,2021-12-01,5781.33,2021,12,Q4,1394.9800000000002,1663.1066666666666,2545.57,4648.55
36,2022-01-01,4392.36,2022,1,Q1,4905.3966666666665,4827.72,9514.173333333334,5003.743333333333
37,2022-02-01,3788.77,2022,2,Q1,4905.3966666666665,4827.72,9514.173333333334,5003.743333333333
38,2022-03-01,6535.06,2022,3,Q1,4905.3966666666665,4827.72,9514.173333333334,5003.743333333333
39,2022-04-01,4253.6,2022,4,Q2,4905.3966666666665,4827.72,9514.173333333334,5003.743333333333
40,2022-05-01,4673.48,2022,5,Q2,4905.3966666666665,4827.72,9514.173333333334,5003.743333333333
41,2022-06-01,5556.08,2022,6,Q2,4905.3966666666665,4827.72,9514.173333333334,5003.743333333333
42,2022-07-01,7855.23,2022,7,Q3,4905.3966666666665,4827.72,9514.173333333334,5003.743333333333
43,2022-08-01,11707.04,2022,8,Q3,4905.3966666666665,4827.72,9514.173333333334,5003.743333333333
44,2022-09-01,8980.25,2022,9,Q3,4905.3966666666665,4827.72,9514.173333333334,5003.743333333333
45,2022-10-01,4124.52,2022,10,Q4,4905.3966666666665,4827.72,9514.173333333334,5003.743333333333
46,2022-11-01,4793.49,2022,11,Q4,4905.3966666666665,4827.72,9514.173333333334,5003.743333333333
47,2022-12-01,6093.22,2022,12,Q4,4905.3966666666665,4827.72,9514.173333333334,5003.743333333333
48,2023-01-01,3224.92,2023,1,Q1,3049.8266666666664,1866.89,1598.64,1557.6866666666667
49,2023-02-01,3300.43,2023,2,Q1,3049.8266666666664,1866.89,1598.64,1557.6866666666667
50,2023-03-01,2624.13,2023,3,Q1,3049.8266666666664,1866.89,1598.64,1557.6866666666667
51,2023-04-01,2476.7,2023,4,Q2,3049.8266666666664,1866.89,1598.64,1557.6866666666667
52,2023-05-01,2011.32,2023,5,Q2,3049.8266666666664,1866.89,1598.64,1557.6866666666667
53,2023-06-01,2266.72,2023,6,Q2,3049.8266666666664,1866.89,1598.64,1557.6866666666667
54,2023-07-01,2079.77,2023,7,Q3,3049.8266666666664,1866.89,1598.64,1557.6866666666667
55,2023-08-01,2228.43,2023,8,Q3,3049.8266666666664,1866.89,1598.64,1557.6866666666667
56,2023-09-01,2483.92,2023,9,Q3,3049.8266666666664,1866.89,1598.64,1557.6866666666667
57,2023-10-01,2321.08,2023,10,Q4,3049.8266666666664,1866.89,1598.64,1557.6866666666667
58,2023-11-01,2270.4,2023,11,Q4,3049.8266666666664,1866.89,1598.64,1557.6866666666667
59,2023-12-01,1788.17,2023,12,Q4,3049.8266666666664,1866.89,1598.64,1557.6866666666667
60,2024-01-01,2047.9,2024,1,Q1,1422.6416666666667,1333.2083333333333,,
61,2024-02-01,1743.11,2024,2,Q1,1422.6416666666667,1333.2083333333333,,
62,2024-03-01,1650.32,2024,3,Q1,1422.6416666666667,1333.2083333333333,,
63,2024-04-01,1595.13,2024,4,Q2,1422.6416666666667,1333.2083333333333,,
64,2024-05-01,1711.44,2024,5,Q2,1422.6416666666667,1333.2083333333333,,
65,2024-06-01,1921.01,2024,6,Q2,1422.6416666666667,1333.2083333333333,,
